"","Current (A)","CosPhi (Units)","Energy Consumption (kWh)","Reactive Energy (VARh)","Voltage (V)"
"2024-05-22 21:00:00","374.89275808076","0.00024739756840652","4.5080876180553","4978089.2257315","2.2299692436895"
"2024-05-22 22:00:00","84.692634594901","0.00013039767649681","2.7731593343581","535454.165481","0.83322779225814"
"2024-05-22 23:00:00","395.703968944","0.00039741111935936","6.4355125842706","5086063.0058596","0.28841788270616"
"2024-05-23 00:00:00","301.49574983107","0.00029167025014321","6.9025654652376","3862017.9360127","0.93611421586316"
"2024-05-23 01:00:00","272.91403955447","0.00010816388043641","3.6421057934907","3308530.3315144","4.0028273353751"
"2024-05-23 02:00:00","393.93701316854","0.00032937655055262","7.3383880765904","4666860.8174309","6.4946667633312"
"2024-05-23 03:00:00","395.60413629483","0.00014932045820573","5.6590245332202","4854948.1358206","1.6729984522695"
"2024-05-23 04:00:00","418.53056443961","0.00040350907616311","6.8571306348097","5561867.2589237","1.3132462113178"
"2024-05-23 05:00:00","237.87163522457","0.00030200624493192","1.8749732321511","3330674.015403","0.0088127713995603"
"2024-05-23 06:00:00","368.84891727093","0.00041968704627922","5.7535858285246","5190396.0809355","1.1075267778274"
"2024-05-23 07:00:00","375.86375820459","0.00032152368598461","7.7620101654498","5287094.2039604","3.1959633467381"
"2024-05-23 08:00:00","28.038880252095","0.00010236454033201","5.7855599935542","20315.932492606","3.1286590538696"
"2024-05-23 09:00:00","818.32445755037","0.00092598967790991","16.914152358075","11162486.550751","1.2303815196535"
"2024-05-23 10:00:00","12274.005329814","0.0011204974030194","436.84581963368","112537859.63642","2.7500598302222"
"2024-05-23 11:00:00","23777.941511649","0.010375871304311","623.89530013056","213682883.15619","0.32601406764603"
"2024-05-23 12:00:00","1409.4936934469","0.0012979113983569","31.476012865487","17493392.024031","0.80482319052221"
"2024-05-23 13:00:00","1140.105066333","0.00095335195879898","25.422300981683","14000260.060599","4.2204942975633"
"2024-05-23 14:00:00","1083.9023495116","0.00089532302655826","24.125085342316","13321389.695986","6.5864040978759"
"2024-05-23 15:00:00","706.72636971487","0.00072600570960694","14.971908118387","8655072.6005705","4.4301041720151"
"2024-05-23 16:00:00","498.18767286874","0.00040499765392689","12.808830933197","4938327.2084127","2.6775409372036"
