"","Current (A)","CosPhi (Units)","Energy Consumption (kWh)","Reactive Energy (VARh)","Voltage (V)"
"2024-05-25 08:00:00","17.23889","0.98239","2.38841","2296.99796","221.52828"
"2024-05-25 09:00:00","6.7494","0.99329","1.51392","745.23762","222.76142"
"2024-05-25 10:00:00","16.18566","0.98382","2.01366","2269.23019","221.95969"
"2024-05-25 11:00:00","33.92342","0.96718","5.0116","4278.73407","222.85725"
"2024-05-25 12:00:00","13.95532","0.98637","2.01315","1607.83712","221.76558"
"2024-05-25 13:00:00","16.63154","0.98173","2.88763","2017.62347","221.54061"
"2024-05-25 14:00:00","10.50268","0.9839","1.88918","1320.60631","221.66098"
"2024-05-25 15:00:00","10.89486","0.99357","2.13841","1193.38383","221.4343"
"2024-05-25 16:00:00","10.81745","0.98792","2.76263","1332.47124","222.51615"
"2024-05-25 17:00:00","13.37918","0.9889","2.63815","1465.58963","222.53714"
"2024-05-25 18:00:00","12.45268","0.98955","2.63763","1418.39324","222.73989"
"2024-05-25 19:00:00","13.15887","0.98527","2.51289","1549.68286","222.80286"
"2024-05-25 20:00:00","15.52551","0.97921","3.13712","2110.69955","223.3101"
"2024-05-25 21:00:00","23.69059","0.97224","3.88686","2839.59546","222.86062"
"2024-05-25 22:00:00","6.5083","0.99309","1.51392","778.3307","222.7554"
"2024-05-25 23:00:00","9.84806","0.99337","1.38918","1068.12173","222.95967"
"2024-05-26 00:00:00","7.47226","0.98978","1.51418","977.51814","222.29474"
"2024-05-26 01:00:00","11.44384","0.99017","1.51418","1664.52836","222.59763"
"2024-05-26 02:00:00","12.71632","0.99032","1.88841","1437.98281","222.13572"
"2024-05-26 03:00:00","4.25247","0.99543","1.1397","529.43047","222.42471"
"2024-05-26 04:00:00","5.15583","0.99556","0.88995","597.78184","222.09365"
"2024-05-26 05:00:00","6.34393","0.99589","1.13944","684.36219","223.30662"
"2024-05-26 06:00:00","4.92035","0.9936","1.0147","731.33909","222.27836"
"2024-05-26 07:00:00","16.19781","0.98658","2.51263","1897.45262","223.2307"
"2024-05-26 08:00:00","23.58337","0.97195","3.38712","2784.73296","222.96312"
"2024-05-26 09:00:00","10.47402","0.99144","2.13815","1198.66527","222.23854"
"2024-05-26 10:00:00","26.34511","0.9644","5.01083","3381.59307","221.12126"
"2024-05-26 11:00:00","9.51233","0.9878","1.88841","1165.58681","220.70685"
"2024-05-26 12:00:00","14.64934","0.98492","1.88866","1961.79538","220.96136"
"2024-05-26 13:00:00","23.82672","0.97368","4.1366","2830.78816","221.23864"
"2024-05-26 14:00:00","6.40042","0.99378","1.51366","760.4821","222.12111"
"2024-05-26 15:00:00","20.83342","0.96754","3.76212","2635.94582","222.56988"
"2024-05-26 16:00:00","10.33485","0.98215","2.26392","1263.76874","222.11376"
"2024-05-26 17:00:00","10.59046","0.9882","1.88841","1256.60006","221.87724"
"2024-05-26 18:00:00","11.74857","0.99226","2.26341","1278.26707","222.34836"
"2024-05-26 19:00:00","16.07474","0.97985","2.63841","2250.72324","222.90328"
"2024-05-26 20:00:00","11.4811","0.98333","2.26315","1491.00194","222.49615"
"2024-05-26 21:00:00","9.02595","0.98585","2.01341","1066.3808","223.54141"
"2024-05-26 22:00:00","15.28319","0.98175","2.51341","1557.07102","223.24595"
"2024-05-26 23:00:00","14.56056","0.98569","2.63763","1794.1941","223.02589"
"2024-05-27 00:00:00","9.81637","0.98204","1.88918","1319.52369","223.51319"
"2024-05-27 01:00:00","19.01308","0.97447","3.01212","2427.95109","223.58836"
"2024-05-27 02:00:00","12.1249","0.97082","2.63789","1741.68699","222.2347"
"2024-05-27 03:00:00","7.83612","0.9868","1.51366","958.5723","222.98331"
"2024-05-27 04:00:00","4.07428","0.9977","1.01444","443.97664","223.06216"
"2024-05-27 05:00:00","35.59611","0.96255","5.76109","5018.70484","221.99621"
"2024-05-27 06:00:00","22.74465","0.9783","2.88738","2880.63259","220.27677"
"2024-05-27 07:00:00","11.01693","0.98644","1.63841","1647.55756","219.77301"
"2024-05-27 08:00:00","17.66286","0.97981","3.26289","2075.89473","219.07014"
"2024-05-27 09:00:00","18.3027","0.98221","3.01212","2029.94191","218.71078"
"2024-05-27 10:00:00","36.39399","0.96467","7.0098","4159.67506","219.77825"
"2024-05-27 11:00:00","6.78241","0.98704","1.38918","1005.31516","220.05167"
"2024-05-27 12:00:00","1.10118","0.99569","0.39021","158.29661","220.60658"
"2024-05-27 13:00:00","0","1","0.01547","0","220.63909"
